Expression,"Familiarity (1 = low, 5 = high)",Familiarity SD,"Meaningfulness (1 = low, 5 = high)",Meaningfulness SD,"Literal Plausibility (1 = low, 5 = high)",Literal Plausibility SD,"Verb Relatedness (1 = low, 5 = high)",Verb Relatedness SD,"Noun Relatedness (1 = low, 5 = high)",Noun Relatedness SD,Global Decomposability Proportion,Normal Decomposability Proportion,Predictability of final word
He made a bundle,3.87,1.28,4.73,1.01,3.87,1.25,4.17,1.09,3.2,1.19,0.7,0.7,0
She made a killing,4.17,1.09,4.83,0.75,2.83,1.51,3.77,1.22,1.37,0.72,0.21,0.38,0
They mended their fences,2.24,1.46,3.48,1.43,4.2,1.1,4.23,0.86,1.67,0.76,0.47,0.24,0.07
She met her maker,3.13,1.28,3.97,1.13,3.27,1.34,1.77,0.94,2.2,1.45,0.43,0,0.04
She missed the bus,3.97,1.27,4.6,1,4.6,0.86,4.47,0.78,1.6,0.89,0.47,0.24,0.21
He missed the mark,3.37,1.3,4.1,1.16,3.57,1.48,3.93,0.98,2.83,1.18,0.85,0.73,0.48
He overplayed his hand,2.53,1.28,3.43,1.25,2.57,1.45,4.1,0.84,2.2,1.32,0.61,0.39,0.11
He overshot the mark,2.9,0.99,4.3,0.84,3.57,1.45,4.37,0.72,3.3,1.06,0.93,0.73,0.25
She packed her bags,4.43,0.77,4.93,0.25,4.8,0.66,3.63,1.25,3.5,1.28,0.85,0.52,0.54
She paid her way,3.53,1.32,4.43,1.3,2.97,1.4,4.77,1.07,3,0.97,0.85,0.92,0.11
He passed the buck,2.83,1.06,3.4,0.38,3.33,1.03,3.43,1.44,1.6,1.28,0.36,0.46,0.07
He paved the way,4.2,1.33,4.83,1.07,3.97,1.5,3,0.68,3.77,1.05,0.85,0.54,0.75
He played for keeps,3.57,1.36,4.43,0.94,1.93,0.98,3.9,1.03,2.67,1.15,0.53,0.56,0.43
She pocketed her pride,2.76,1.18,4.31,1.11,1.47,1.07,2.8,1.27,3.97,1.25,0.71,0.43,0
He popped the question,4.5,0.97,4.97,0.18,1.73,1.28,2.17,1.05,4.33,0.88,0.47,0.67,0.68
He pulled a face,2.5,1.13,2.9,1.22,2.53,1.38,2.03,0.68,4.53,1.38,0.78,0.68,0.04
She pulled his leg,4.23,1.25,4.87,1.57,3.87,1.48,1.2,1.04,1.1,0.98,0.15,0.25,0.18
He pulled his punches,1.97,1.22,2.37,1.54,1.97,1.28,1.47,0.89,2.23,0.68,0.14,0.2,0
He pulled the plug,3.4,0.97,3.45,0.35,4.86,1.31,1.78,0.48,1.04,0.31,0.69,0.2,0.32
She pushed his buttons,4.63,0.61,5,0,2.67,1.42,2.83,1.29,1.87,1.28,0.35,0.31,0.41
She racked her brains,4.4,0.97,4.9,0.4,1.47,0.73,2.4,0.93,4.1,1.09,0.7,0.65,0.64
They raised a stink,3.63,1.33,4.47,0.94,2,1.2,2.6,1.07,1.83,0.87,0.3,0.27,0
She raised the devil,1.9,1.09,3.27,1.46,1.43,0.77,2.43,1.04,3.43,1.3,0.51,0.13,0
She ran the gauntlet,2.37,1.33,2.63,1.61,2.47,1.31,1.8,1.06,2.03,0.98,0.35,0.31,0
She rocked the boat,3.93,1.07,4.66,0.86,4.53,0.9,3.13,1.04,1.77,1.14,0.44,0.28,0.5
He rode the storm,2.3,1.15,3.17,1.42,1.6,1.13,1.97,1.16,2.87,1.04,0.31,0.22,0
He ruled the roost,2.17,1.34,3.3,1.64,2.43,1.3,4.5,0.82,2.1,1.12,0.63,0.59,0.18
He rushed his fences,1.7,0.79,1.7,0.95,1.83,1.23,4.03,1.15,1.48,0.83,0.22,0.25,0
He said the word,2.97,1.45,3.3,1.51,4.6,0.81,2.7,0.95,2.43,1.28,0.32,0.75,0.68
They sang her praise,2.93,0.91,4.3,1.12,3.9,1.03,3.27,1.14,4.8,0.55,0.84,0.77,0.21
They sat on thorns,1.73,0.83,2.57,1.33,4.1,0.96,2.57,1.48,3.9,1.03,0.47,0.21,0
She saved her skin,2.9,1.09,4.23,1.04,2.07,1.41,4.33,0.99,2.03,1.03,0.78,0.36,0.21
He saved his bacon,1.97,1.22,2.93,1.72,3.23,1.28,3.9,1.32,1.27,0.45,0.29,0,0
He saw the light,4.07,1.17,4.73,0.78,4.53,1.01,3.3,1.06,3,1.26,0.62,0.56,0.29
She scratched her head,3.87,1.28,4.23,1.33,5,0,1.68,0.94,4.03,1.05,0.67,0.52,0.64
He shook a leg,2.07,1.34,2.8,1.67,4.2,1.06,3.1,0.92,4.1,0.88,0.63,0.76,0.07
They shot the breeze,3.17,1.56,3.8,1.71,1.5,0.68,1.4,0.86,1.77,1.04,0.04,0,0.11
He shouldered the blame,3.43,1.17,4.43,1.1,1.53,0.86,2.77,1.07,4.3,0.92,0.81,0.81,0.14
She showed her cards,2.93,1.28,3.43,1.59,4.83,0.38,4.37,0.96,1.93,0.91,0.77,0.33,0
He showed his teeth,2.7,0.89,3.53,1.28,4.7,0.31,2.03,1.24,1.73,1.16,0.32,0.3,0
He showed the flag,1.97,1.42,2.4,1.41,4.9,0.7,2.33,1.13,2.6,0.91,0.28,0.09,0
She skimmed the cream,1.86,0.83,2.31,1.2,4.13,1.17,2.2,1.45,2.2,1.47,0.3,0.08,0.04
She slapped his wrist,3.3,1.12,4.27,1.11,4.83,0.59,3.63,1.19,1.93,1.05,0.76,0.64,0.07
It slipped his mind,4.6,0.86,5,0,1.7,1.06,3,1.02,4.7,0.47,0.88,0.85,0.96
She smacked her lips,2.83,1.42,3.77,1.38,4,1.17,1.27,0.58,1.57,1.14,0.25,0.57,0.18
He smelled a rat,3.6,1.28,4.47,1.07,4.1,1.27,2.33,0.96,2.17,1.18,0.3,0.27,0.11
She spilled her guts,4.27,1.01,4.77,0.77,2.17,1.21,3.03,1.16,1.5,0.86,0.57,0.6,0.21
She spilled the beans,4.37,1.1,4.97,0.18,4.43,1.01,3.83,0.83,1.47,0.82,0.45,0.38,0.14
He split a gut,2.03,0.89,2.9,1.56,2.37,1,1.57,0.77,2.4,1.1,0.24,0.38,0
She spoke her mind,4.6,0.85,4.97,0.26,1.9,1.27,4.7,0.65,4.32,0.77,0.95,1,0.64
They spread the word,4.8,0.41,4.97,0.18,2.07,1.31,4,1.07,4.1,1.11,0.95,0.79,0.11
He stole her thunder,3.77,1.45,4.67,0.88,1.33,0.92,4.27,0.83,1.7,0.84,0.49,0.33,0
She stole the show,4.33,0.84,4.97,0.18,1.9,1.24,2.53,1.2,3.57,0.94,0.62,0.3,0.29
She straddled the fence,2.57,1.57,3.47,1.68,3.87,1.31,2.43,1.1,1.83,1.09,0.27,0.11,0.14
He stretched his legs,3.63,1.38,4.4,1.1,4.4,1.22,3.6,1.07,4.83,0.38,0.8,0.82,0.5
He struck a chord,3.83,1.21,4.53,1.04,3.97,1.03,1.83,0.87,1.6,0.77,0.19,0.17,0.18
She strutted her stuff,4.1,1.32,4.5,1.2,2.47,1.36,3.8,1.03,2.83,1.09,0.84,0.93,0.89
He sugared the pill,1.97,1.3,2.6,1.5,3.6,1.16,3.93,0.87,2.4,1.1,0.48,0.21,0
He swallowed his pride,4.43,0.77,4.8,0.76,1.07,0.25,2.17,0.91,4.13,1.2,0.79,0.8,0.39
She swept the board,2.13,1.25,2.93,1.57,3.07,1.48,2.4,1.33,2.67,1.21,0.34,0.18,0
He threw a fit,4.73,1.21,4.97,0.75,1.2,1.14,1.97,1.24,4.33,0.86,0.69,0.91,0.43
He threw in the towel,3.67,0.64,4.7,0.18,4.13,0.76,2.1,0.93,1.4,0.84,0.21,0,0.79
They tied the knot,4.6,0.81,4.97,0.18,4.17,1.23,2.6,1.25,2,1.26,0.26,0.2,0.79
She toed the line,2.23,1.3,2.93,1.64,2.47,1.33,1.77,0.9,2.2,1.21,0.14,0.33,0.21
He took a beating,4.2,0.88,4.73,1.14,3.47,1.25,2.63,1.14,3.57,1.22,0.72,0.64,0
She took a fancy,3.6,0.96,4.77,0.83,1.47,1.43,3.17,1.1,2.87,1.25,0.69,0.86,0
He took a hint,4.67,1.38,5,1.32,1.43,1.25,2.47,1.18,4.6,1.16,0.92,0.93,0
It took the cake,3.33,1.33,3.6,0.63,2.21,0.86,2.02,1.12,1.09,1.38,0.24,0.25,0.68
She took the floor,3.03,1.03,4.17,0.77,2.03,1.43,2.67,1.1,2.37,1.23,0.46,0.63,0
She took the heat,3.33,0.61,4.4,0,2.07,0.86,4.1,0.9,2.5,0.62,0.56,0.58,0
He took the plunge,4.2,1.09,4.77,1.1,3.43,1.17,2.23,0.84,1.83,1.14,0.09,0,0
She took the veil,1.67,1.54,2.23,1.55,4.13,0.84,2.27,1.06,3.43,1.14,0.52,0.59,0
