Expression,Unknown,Mean_C,SD_C,N,Min,Max
a pat on the back,0,3.2,1.4757295747452437,10,1,5
a peach,0,4.9,0.31622776601683794,10,4,5
a penny for your thoughts,0,1.5,0.7071067811865476,10,1,3
a penny saved is a penny earned,0,2.6,1.7126976771553504,10,1,5
a person is known by the company he keeps,0,2.1,0.9944289260117533,10,1,4
a picture is worth a thousand words,0,2.176470588235294,1.4245742398014511,17,1,5
a picture paints a thousand words,1,1.8,1.3165611772087666,10,1,5
a piece of cake,0,3.7,1.4181364924121764,10,1,5
a piece of the action,0,1.9090909090909092,1.2210278829367867,11,1,5
a pig in a poke,1,1.7,1.1595018087284057,10,1,4
a pillar of strength,1,1.5,0.5270462766947299,10,1,2
a pipe dream,1,1.3,0.48304589153964794,10,1,2
a place for everything and everything in its place,1,2.4166666666666665,1.5050420310248864,12,1,5
a place in the sun,0,2.4,0.8432740427115678,10,1,4
a plague on both of your houses,2,1.4,1.2649110640673518,10,1,5
a plague on both your houses,0,2.5454545454545454,1.3684762594679065,11,1,5
a pleasure,0,3.1,1.1972189997378648,10,1,5
a plethora of,6,2.9375,1.526160760426852,16,1,5
a plum in your mouth,2,2.9,1.449137674618944,10,1,4
a plum job,5,1.9333333333333333,1.0997835284835873,15,1,4
a plus,0,2.8,1.5491933384829668,10,1,5
a pocket of resistance,0,2.7,1.636391694484477,10,1,5
a poor view,0,3,1.632993161855452,10,1,5
a poor workman always blames his tools,0,2,1.247219128924647,10,1,4
a pound of flesh,0,3.0833333333333335,1.3113721705515067,12,1,5
a pretty penny,0,2.6,1.776388345929897,10,1,5
a priori,7,2,1.1881770515720091,18,1,5
a problem shared is a problem halved,0,2,1.4142135623730951,11,1,5
a prophet is not recognized in his own land,3,1.8,1.0327955589886444,10,1,4
a propos,6,2.4,1.2649110640673518,10,1,5
a put-down,2,2.3,1.3374935098492586,10,1,5
a quantity of,1,2.8,1.4757295747452437,10,1,5
a question of,0,2.1,1.1972189997378648,10,1,5
a question of time,0,2.1818181818181817,1.5374122295716148,11,1,5
a range of,0,2.5,1.35400640077266,10,1,5
a red line,1,3.9166666666666665,0.9962049198956219,12,2,5
a red rag to a bull,0,2.2,1.398411797560202,10,1,4
a riddle wrapped up in an enigma,0,1.7,1.2516655570345725,10,1,4
a rip-off,0,2.7,1.5670212364724212,10,1,5
a ripe old age,0,2.3529411764705883,1.1694644324747672,17,1,5
a rising tide lifts all boats,0,2.3,1.70293863659264,10,1,5
a roaring trade,3,2,1.1547005383792515,10,1,4
a roll,0,3.75,1.3568010505999362,12,1,5
a rolling stone gathers no moss,1,1.9,1.286683937707919,10,1,5
a rose by any other name would smell as sweet,1,2.4,1.0749676997731399,10,1,4
a rose is a rose is a rose,1,2.4,1.577621275493231,10,1,5
a rotten egg,1,3.9,1.3703203194062976,10,1,5
a rude awakening,0,2.5,1.6499158227686108,10,1,5
a running battle,0,2.2,1.2292725943057183,10,1,4
a sad state of affairs,0,1.6,1.2649110640673518,10,1,5
a safe pair of hands,0,2,1.0954451150103321,11,1,4
a sea change,0,2.1,1.66332999331662,10,1,5
a sec,0,3,1.9436506316151,10,1,5
a senior moment,0,2.1,1.3703203194062976,10,1,5
a shame,0,1.25,0.621581560508061,12,1,3
a sharp cookie,0,2.1,1.286683937707919,10,1,5
a short time,0,2.4545454545454546,1.0357254813546264,11,1,4
a shot in the arm,0,3.090909090909091,1.300349603340998,11,1,5
a shot in the dark,0,1.8181818181818181,1.1677484162422844,11,1,5
a shouting match,1,2.5454545454545454,1.1281521496355325,11,1,4
a show of hands,0,3.5454545454545454,1.4396969378057567,11,1,5
