Expression,Unknown,Mean_C,SD_C,N,Min,Max
quiet voice,2,3.3,1.70293863659264,10,1,5
quieten down,2,2.4,1.429840705968481,10,1,5
quill feather,0,4.5,0.8498365855987975,10,3,5
quill pen,1,4.1,1.286683937707919,10,1,5
quilt store,0,4.454545454545454,0.9341987329938275,11,3,5
quilting bee,9,3.1538461538461537,1.3445044840729643,13,1,5
quirky subject,1,2.3,1.4944341180973264,10,1,5
quit on,1,2.5,1.2692955176439846,10,1,4
quit smoking,0,3.3636363636363638,1.2862913567871994,11,1,5
quite a,1,1.4,0.5163977794943222,10,1,2
quite a bit,0,1.9090909090909092,0.9438798074485389,11,1,4
quite a few,0,2.6,1.429840705968481,10,1,5
quite a little,0,2.3,1.4181364924121764,10,1,5
quite a lot,0,2.7,1.636391694484477,10,1,5
quite a while,0,1.4545454545454546,0.5222329678670935,11,1,2
quite an,1,2.1818181818181817,0.873862897505303,11,1,3
quite right,0,2,1.4142135623730951,10,1,5
quite so,1,2,1.0540925533894598,10,1,4
quiz bowl,3,2.909090909090909,1.1361818036340359,11,1,5
quiz program,1,3.642857142857143,1.3926810257774174,14,1,5
quiz show,0,4.111111111111111,1.078609610939221,18,2,5
quonset hut,9,4.5,0.7071067811865476,10,3,5
quota system,2,2.727272727272727,1.4206272622267313,11,1,5
quotation mark,0,4.3,0.9486832980505138,10,2,5
quotation marks,0,2.6,1.429840705968481,10,1,5
quotations,1,3.65,1.268027892769755,20,1,5
quote mark,2,4.5,0.7071067811865476,10,3,5
quote unquote,1,1.9,1.286683937707919,10,1,5
quotient space,6,2.1,1.286683937707919,10,1,5
qwerty keyboard,1,4.4,0.8432740427115678,10,3,5
qwerty syndrome,4,3.6,1.2649110640673518,10,2,5
R & R,3,3.1,1.286683937707919,10,1,5
R and R,2,2.6363636363636362,1.3618169680781094,11,1,5
rabbit and pork,3,4.5,0.97182531580755,10,2,5
rabbit bush,4,4.5,0.97182531580755,10,2,5
rabbit ear mite,1,4.3,0.8232726023485646,10,3,5
rabbit ears,1,4.3,1.2516655570345725,10,1,5
rabbit fever,4,2.6363636363636362,1.8040358795061295,11,1,5
rabbit food,1,4.9,0.31622776601683794,10,4,5
rabbit fur,0,4.3,0.9486832980505138,10,3,5
rabbit hole,0,3.7,0.9486832980505138,10,3,5
rabbit hutch,3,3.727272727272727,1.4206272622267313,11,1,5
rabbit on,2,1.8,1.3165611772087666,10,1,5
rabbit on about,4,2.1818181818181817,1.4709304414677002,11,1,5
rabbit syndrome,7,3.3,1.4944341180973264,10,1,5
rabbit's foot,0,4.7,0.48304589153964794,10,4,5
rabble rouser,7,2.2142857142857144,1.2513728724621074,14,1,5
race against the clock,0,1.3,0.48304589153964794,10,1,2
race against time,2,1.1,0.31622776601683794,10,1,2
race ahead,0,1.9,0.5676462121975467,10,1,3
race away,3,2,0.816496580927726,10,1,3
race car,0,4.7272727272727275,0.6466697906828632,11,3,5
race card,0,2.9166666666666665,1.5050420310248864,12,1,5
race condition,2,2.9,1.5951314818673865,10,1,5
race course,1,4.3,1.3374935098492586,10,1,5
race down,1,2.5,1.4337208778404378,10,1,4
race driver,0,4.4,0.699205898780101,10,3,5
race hatred,0,2.4,1.7126976771553504,10,1,5
race horse,0,4.8,0.4216370213557839,10,4,5
race meet,1,3.5,1.2692955176439846,10,2,5
race meeting,1,3.3,1.636391694484477,10,1,5
race music,5,4.3,0.8232726023485646,10,3,5
race off,0,3.1,1.5951314818673865,10,1,5
race out of the traps,2,2.2,1.2292725943057183,10,1,4
race problem,0,2.8,1.1352924243950935,10,1,5
race queen,5,3.8,1.2292725943057183,10,2,5
race relations,0,2.090909090909091,0.9438798074485389,11,1,3
race riot,3,3.1,1.66332999331662,10,1,5
race runner,0,3.6,1.577621275493231,10,1,5
race the clock,0,2,1.4907119849998598,10,1,5
race track,0,4.4,0.699205898780101,10,3,5
rachet up,10,2.7058823529411766,1.4901638283404002,17,1,5
racial discrimination,0,3.727272727272727,1.555050423035156,11,1,5
racial extermination,1,2.5,1.0801234497346435,10,1,4
racial identity,0,3.4,1.429840705968481,10,1,5
racial immunity,1,1.7,1.1595018087284057,10,1,4
racial profiling,0,2.9,1.449137674618944,10,1,5
racial segregation,1,2.1818181818181817,1.4709304414677002,11,1,5
racing bike,0,3.9,1.5951314818673865,10,1,5
racing boat,1,4.5,0.97182531580755,10,2,5
racing car,0,4.666666666666667,0.8876253645985945,12,2,5
racing certainty,5,2,1.0540925533894598,10,1,4
racing circuit,2,4.181818181818182,1.0787197799411874,11,2,5
racing crab,6,2.9,1.5238839267549948,10,1,5
racing driver,0,4.5,0.7859052479933758,18,3,5
racing form,2,2.235294117647059,1.251469724199605,17,1,5
racing gig,3,3.3,1.3374935098492586,10,1,5
racing pigeon,2,3.8,1.2292725943057183,10,1,5
racing shell,4,3.3,1.1595018087284057,10,2,5
racing skate,2,4.4,0.9660917830792959,10,2,5
racing skiff,5,4,1.0801234497346435,13,2,5
racing start,0,3.2,1.1352924243950935,10,2,5
racing yacht,0,3.8,1.398411797560202,10,1,5
rack and pinion,3,3.3,1.4181364924121764,10,1,5
rack and ruin,0,2.6,1.577621275493231,10,1,5
rack my brain,0,1.6,1.2649110640673518,10,1,5
rack of lamb,0,4.636363636363637,0.504524979109513,11,4,5
rack off,3,2.1818181818181817,0.9816498172140428,11,1,4
rack one's brain,0,1.8,1.0327955589886444,10,1,4
rack one's brains,0,2.1,1.66332999331662,10,1,5
rack rate,7,2.3,1.3374935098492586,10,1,5
rack rent,9,2.6,1.577621275493231,10,1,5
rack up,2,2.5,1.35400640077266,10,1,5
rack up points,0,2.9,1.286683937707919,10,1,5
rack your brain,0,1.6,0.699205898780101,10,1,3
rack your brains,1,2.1,0.9944289260117533,10,1,4
racked with pain,2,2.6,1.429840705968481,10,1,5
racket abuse,14,2.3333333333333335,1.3706888336846839,12,1,5
racket club,2,4.2,1.3165611772087666,10,1,5
radar dome,0,4.2,1.0327955589886444,10,2,5
radar echo,3,2.8,1.398411797560202,10,1,5
radar gun,1,4.3,1.0593499054713802,10,2,5
radar station,0,4.2,1.3165611772087666,10,1,5
radar trap,0,3.5454545454545454,1.2135597524338357,11,1,5
radar van,1,4.5,0.97182531580755,10,2,5
radial arm saw,3,4.9,0.31622776601683794,10,4,5
radial engine,4,4.636363636363637,0.504524979109513,11,4,5
radial pulse,1,3.6363636363636362,1.6292775867068985,11,1,5
radial symmetry,0,2.8181818181818183,1.662418829187267,11,1,5
radial tire,1,4.2,0.9189365834726815,10,3,5
radial vein,4,4.4,0.5163977794943222,10,4,5
radial velocity,1,3.272727272727273,1.348399724926484,11,1,5
radiant energy,0,2.5454545454545454,1.2933395813657265,11,1,5
radiant heating,0,3.7,1.4181364924121764,10,2,5
radiation field,1,3.3333333333333335,1.495090003192804,18,1,5
radiation pressure,2,3.1,1.1972189997378648,10,1,5
radiation sickness,0,3.8,1.398411797560202,10,1,5
radiation therapy,0,3.8181818181818183,0.873862897505303,11,3,5
radiative recombination,3,3.1,1.66332999331662,10,1,5
radiator cap,0,4.636363636363637,0.674199862463242,11,3,5
radiator grille,2,4.2,1.0327955589886444,10,2,5
radiator hose,0,4.8,0.4216370213557839,10,4,5
radical chic,2,2.4545454545454546,1.3684762594679065,11,1,5
radical plane,2,2.7,1.4944341180973264,10,1,5
radical sign,4,3.272727272727273,1.348399724926484,11,1,5
radio aerial,5,3.9,1.286683937707919,10,2,5
radio alarm,0,4.909090909090909,0.30151134457776363,11,4,5
radio alarm clock,0,4.2,1.4757295747452437,10,1,5
radio announcer,0,4.2,1.2292725943057183,10,1,5
radio antenna,0,4.7,0.6749485577105528,10,3,5
radio astronomy,2,2.8,1.7511900715418263,10,1,5
radio beacon,1,4.636363636363637,0.674199862463242,11,3,5
radio beam,0,3.2,1.4757295747452437,10,1,5
radio broadcast,0,4.176470588235294,1.0744355563298724,17,2,5
radio button,0,4.6,0.699205898780101,10,3,5
radio carbon,0,3.8,1.398411797560202,10,1,5
radio cassette,2,4.8,0.4216370213557839,10,4,5
radio cassette player,0,4.5,0.8498365855987975,10,3,5
radio cassette recorder,1,4.8,0.4216370213557839,10,4,5
radio chassis,8,4.285714285714286,1.0690449676496976,14,2,5
radio communication,0,3.4,1.3498971154211057,10,1,5
radio compass,1,4.153846153846154,0.8006407690254357,13,3,5
radio emission,1,3.3636363636363638,1.2862913567871994,11,1,5
radio frequency,1,3.7,1.3374935098492586,10,1,5
radio headsets,0,4.5,0.5270462766947299,10,4,5
radio jock,3,3.7,1.1595018087284057,10,1,5
radio link,1,2.6363636363636362,1.1200649331826502,11,1,5
radio nebula,2,2.6,1.429840705968481,10,1,5
radio news,0,3.4,1.2649110640673518,10,1,5
radio noise,1,3.9,1.1005049346146119,10,2,5
radio observation,3,2.5,1.5811388300841898,10,1,5
radio operator,0,4.4,0.9660917830792959,10,2,5
radio play,0,3.7,1.2182817926554552,20,1,5
radio program,0,4.1,1.286683937707919,10,1,5
radio receiver,0,4.5,0.7071067811865476,10,3,5
radio set,1,4.1,1.286683937707919,10,1,5
radio show,0,4.4,0.8432740427115678,10,3,5
radio show host,0,4.3,1.2516655570345725,10,1,5
radio signal,0,4.2,1.3165611772087666,10,1,5
radio source,1,3.2,1.2292725943057183,10,1,5
radio spectrum,6,3.611111111111111,1.1950332945836273,18,1,5
radio station,0,4.6,0.699205898780101,10,3,5
radio tagging,3,2.6363636363636362,1.2862913567871994,11,1,5
radio telephone,1,4,1.4142135623730951,11,1,5
radio telephony,1,3.8181818181818183,1.4012980994907414,11,1,5
radio telescope,0,4.5,0.97182531580755,10,2,5
radio transmitter,1,4.818181818181818,0.6030226891555273,11,3,5
radio wave,0,2.3,1.5670212364724212,10,1,5
radio-cassette player,0,4.9,0.30779350562554625,20,4,5
radioactive dating,6,2.4545454545454546,1.3684762594679065,11,1,5
radioactive decay,0,3.3636363636363638,1.5015143870590966,11,1,5
radioactive dust,0,4.181818181818182,1.2504544628399563,11,2,5
radioactive fallout,1,2.9,1.1972189997378648,10,1,5
radioactive waste,0,4.363636363636363,0.8090398349558905,11,3,5
radioactivity unit,0,4.1,0.9944289260117533,10,3,5
radiocarbon dating,0,3.6,1.3498971154211057,10,1,5
radium therapy,1,3.1,1.8529256146249728,10,1,5
radius of curvature,0,3.3,1.3374935098492586,10,1,5
radius vector,1,3.7,1.3374935098492586,10,1,5
raffle off,0,3.4,1.429840705968481,10,1,5
raffle ticket,0,4.363636363636363,0.8090398349558905,11,3,5
rag day,6,2.7,1.3374935098492586,10,1,5
rag doll,1,4.4,0.9660917830792959,10,2,5
rag on,5,2.5454545454545454,1.2933395813657265,11,1,5
rag paper,6,3,1.7638342073763937,10,1,5
rag rug,3,3.6,1.429840705968481,10,1,5
rag top,2,3.6,1.1737877907772674,10,2,5
rag trade,3,3,1.1547005383792515,10,2,5
rag week,6,2.3,1.2516655570345725,10,1,4
rag-and-bone man,5,3.2,1.4757295747452437,10,1,5
rag-and-bone shop,5,3.7,1.766981104093143,10,1,5
rag-chewing,0,2.6363636363636362,1.433368568981982,11,1,5
"rag, tag and bobtail",2,2,1.1832159566199232,11,1,4
rage on,0,1.9,1.449137674618944,10,1,5
Raggedy Ann,6,3.5,1.509230856356236,10,1,5
rags to riches,1,2.090909090909091,1.3751033019046572,11,1,5
rah-rah,6,2,1.4142135623730951,10,1,4
rail at,5,2.1,1.449137674618944,10,1,5
rail clip,12,4.285714285714286,1.1387288073563857,14,2,5
rail depot,1,4.6,0.699205898780101,10,3,5
rail fence,3,4.818181818181818,0.6030226891555273,11,3,5
rail freight,0,3.5454545454545454,1.694912172570388,11,1,5
rail in,5,2.5,1.35400640077266,10,1,5
rail line,1,4.5,1.0801234497346435,10,2,5
rail off,3,3,1.3333333333333333,10,1,5
rail vehicle,1,4.4,1.0749676997731399,10,2,5
rail worker,0,4.4,0.8432740427115678,10,3,5
railroad bed,3,4.1,1.286683937707919,10,1,5
railroad camp,0,4.3,0.8232726023485646,10,3,5
railroad car,0,4.7894736842105265,0.6306035352846115,19,3,5
railroad company,1,3.8,0.7888106377466155,10,3,5
railroad crossing,0,4.5,0.7071067811865476,10,3,5
railroad engineer,0,3.8181818181818183,1.3280197150781925,11,1,5
railroad flat,5,4.1,1.1972189997378648,10,2,5
railroad man,0,4.1,0.7378647873726218,10,3,5
railroad overpass,0,4.7,0.6749485577105528,10,3,5
railroad siding,4,4.6,0.699205898780101,10,3,5
railroad spike,0,4.3,1.2516655570345725,10,2,5
railroad station,0,4,1.247219128924647,10,1,5
railroad terminal,0,4.6,0.9660917830792959,10,2,5
railroad through,0,3.1,1.286683937707919,10,1,4
railroad ticket,0,4.4,1.0749676997731399,10,2,5
railroad tie,5,4.454545454545454,1.2135597524338357,11,1,5
railroad track,1,4.181818181818182,1.4709304414677002,11,1,5
railroad tracks,0,4.9,0.31622776601683794,10,4,5
railroad train,1,4.8,0.4216370213557839,10,4,5
railroad tunnel,0,5,0,10,5,5
railroad vine,1,3.1818181818181817,1.8877596148970779,11,1,5
railroad worker,0,4.6,0.5163977794943222,10,4,5
railway car,0,4.8,0.6324555320336759,10,3,5
railway company,0,4.2,1.0327955589886444,10,2,5
railway crossing,0,4.5,0.8498365855987975,10,3,5
railway junction,0,4.5,0.7071067811865476,10,3,5
railway line,0,3.6,1.505545305418162,10,1,5
railway locomotive,0,4.363636363636363,0.8090398349558905,11,3,5
railway man,1,3.8,0.7888106377466155,10,3,5
railway sleeper,1,4,1.3333333333333333,10,1,5
railway station,0,5,0,10,5,5
railway system,0,3.9,0.8755950357709131,10,3,5
railway track,1,4.8,0.6324555320336759,10,3,5
railway viaduct,2,4,1.632993161855452,10,1,5
railway wagon,1,4.181818181818182,1.1677484162422844,11,1,5
railway yard,2,3.727272727272727,1.1908743922772957,11,2,5
rain barrel,0,4.7,0.48304589153964794,10,4,5
"rain before seven, fine before eleven",4,1.5,0.8498365855987975,10,1,3
rain boots,0,4.6,0.699205898780101,10,3,5
rain buckets,0,3.8,1.1352924243950935,10,2,5
rain cats and dogs,0,1.4,0.699205898780101,10,1,3
rain check,0,1.7272727272727273,1.009049958219026,11,1,4
rain cheque,3,1.7272727272727273,1.1037127426019047,11,1,4
rain cloud,0,3.7,1.5670212364724212,10,1,5
rain dance,2,4.117647058823529,1.0537049480984033,17,1,5
rain date,4,2.6923076923076925,1.1094003924504583,13,1,4
rain dogs and cats,0,2.1,1.5951314818673865,10,1,5
rain down,0,3,1.3416407864998738,11,1,5
rain down on,0,3.3,1.5670212364724212,10,1,5
rain drop,0,4.4,0.9660917830792959,10,2,5
rain forest,0,4.6,0.9660917830792959,10,2,5
rain gauge,2,3.3333333333333335,1.1547005383792515,12,2,5
rain gutter,0,4.7272727272727275,0.6466697906828632,11,3,5
rain hat,1,4.7272727272727275,0.6466697906828632,11,3,5
rain jacket,0,4.7272727272727275,0.6466697906828632,11,3,5
rain off,7,2.909090909090909,1.3751033019046572,11,1,5
rain on one's parade,0,1.8,0.7888106377466155,10,1,3
rain on someone's parade,1,1.8181818181818181,0.9816498172140428,11,1,3
rain on your parade,0,2,1.5491933384829668,11,1,5
rain or shine,0,3.1818181818181817,1.662418829187267,11,1,5
rain out,3,3.1,1.1005049346146119,10,1,5
rain pitchforks,6,2.9,1.66332999331662,10,1,5
rain poncho,1,4.454545454545454,1.0357254813546264,11,2,5
rain shadow,1,3.6,1.577621275493231,10,1,5
rain shower,3,4.7,0.48304589153964794,10,4,5
rain slicker,1,4,1.2649110640673518,11,2,5
rain stick,7,4.090909090909091,1.3751033019046572,11,1,5
rain suit,1,4.5,0.5270462766947299,10,4,5
rain tree,1,3.8,1.5491933384829668,10,1,5
rainbow coalition,5,2.8181818181818183,1.5374122295716148,11,1,5
rainbow flag,0,3.9,1.286683937707919,10,1,5
rainbow nation,6,2,1.3416407864998738,11,1,5
rainbow perch,6,3.6,1.6465452046971292,10,1,5
rainbow pink,2,3.2,1.5491933384829668,10,1,5
rainbow runner,5,2.1538461538461537,0.8987170342729172,13,1,4
rainbow trout,1,4.8,0.4216370213557839,10,4,5
rained off,4,2,0.9428090415820634,10,1,4
rained out,2,2,0.9428090415820634,10,1,4
raining cats and dogs,0,1.875,1.02469507659596,16,1,4
rainy day,0,3.8,1.2292725943057183,10,1,5
rainy season,0,3.3636363636363638,1.2060453783110545,11,1,5
raise a big stink,1,2.1818181818181817,1.1677484162422844,11,1,4
raise a fuss,1,2.7,1.1595018087284057,10,1,5
raise a hand,0,4.1,1.286683937707919,10,1,5
raise a question,0,2.7,1.1595018087284057,10,1,5
raise a ruckus,2,2.272727272727273,1.1908743922772957,11,1,4
raise a stink,2,2.4,1.3498971154211057,10,1,5
raise an issue,0,2.3,1.5670212364724212,10,1,5
raise cain,7,3.2,1.398411797560202,10,1,5
raise eyebrows,0,3.6363636363636362,1.1200649331826502,11,2,5
raise funds,0,3.3,1.1595018087284057,10,1,5
raise hell,1,1.8333333333333333,1.1146408580454255,12,1,5
raise on,2,2.1,0.9944289260117533,10,1,4
raise one's hand,1,3.5,1.35400640077266,10,1,5
raise one's sights,0,2.2,1.4757295747452437,10,1,5
raise someone's hackles,4,2,1.0540925533894598,10,1,4
raise the ante,0,2.3636363636363638,1.2060453783110545,11,1,4
raise the bar,0,1.8,1.0327955589886444,10,1,4
raise the flag and see who salutes,0,2.1818181818181817,0.9816498172140428,11,1,4
raise the issue,0,2.5454545454545454,1.4396969378057567,11,1,5
raise the roof,0,2.4545454545454546,1.6348477827391983,11,1,5
raise the spectre,1,2.3,1.3374935098492586,10,1,5
raise the stakes,0,1.7,0.6749485577105528,10,1,3
raise to,1,1.5454545454545454,0.5222329678670935,11,1,2
raise up,0,2.6,1.429840705968481,10,1,5
raise your hand against,1,2.5,1.4337208778404378,10,1,4
raise your spirits,0,1.6666666666666667,0.8876253645985945,12,1,3
raised by wolves,1,1.7272727272727273,0.9045340337332909,11,1,4
raised eyebrows,0,3.9,1.286683937707919,10,1,5
raised in a barn,1,2.6363636363636362,0.9244162777371754,11,1,4
raisin bran,1,4.5,0.8498365855987975,10,3,5
raisin bread,2,4.6,0.699205898780101,10,3,5
raisin cookie,0,4.9,0.31622776601683794,10,4,5
raisin-nut cookie,0,4.909090909090909,0.30151134457776363,11,4,5
raising cain,6,2.5,1.5811388300841898,10,1,5
raising hell,0,1.6,0.8432740427115678,10,1,3
rake handle,1,4.363636363636363,0.8090398349558905,11,3,5
rake in,2,2.176470588235294,1.3800042625680118,17,1,5
rake in the dough,3,1.8,1.0327955589886444,10,1,4
rake in the money,0,2,1.247219128924647,10,1,5
rake it in,0,1.8181818181818181,0.9816498172140428,11,1,4
rake off,0,2.5,0.97182531580755,10,1,4
rake out,4,3.1,1.1972189997378648,10,2,5
rake over,2,2.5,1.2692955176439846,10,1,5
rake over old coals,2,2.4,1.6465452046971292,10,1,5
rake over the ashes,4,1.7,0.6749485577105528,10,1,3
rake over the coals,0,3.3,1.636391694484477,10,1,5
rake someone over the coals,0,1.7,1.3374935098492586,10,1,5
rake through,1,2.6363636363636362,1.3618169680781094,11,1,5
rake together,3,2.2,1.3165611772087666,10,1,5
rake up,1,3.5625,1.3647344063956182,16,1,5
rake you over the coals,2,1.9,1.286683937707919,10,1,5
raking it in,0,2.2,1.1352924243950935,10,1,4
rally around,1,2.4,1.1737877907772674,10,1,4
rally round,0,2.8,1.3165611772087666,10,1,5
rallying call,1,2.1,1.1972189997378648,10,1,4
rallying cry,0,3.3,1.3374935098492586,10,1,5
rallying point,0,3.272727272727273,1.555050423035156,11,1,5
ram disk,0,3.75,1.5447859516333116,12,1,5
ram down,0,2.5833333333333335,1.0836246694508318,12,1,4
ram down your throat,0,2.1818181818181817,1.2504544628399563,11,1,5
ram home,4,2.3,1.4181364924121764,10,1,5
ram horn,6,4.5,1.0801234497346435,10,2,5
ram horns,1,4.8,0.4216370213557839,10,4,5
ram into,0,3.4545454545454546,1.572490786213793,11,1,5
ram something down someone's throat,1,2.0526315789473686,1.4709665835968129,19,1,5
ramble on,1,2.6363636363636362,1.3618169680781094,11,1,5
ramen noodles,0,4.9,0.31622776601683794,10,4,5
ramp up,1,1.7272727272727273,1.009049958219026,11,1,4
ramp worker,4,4.2,0.7888106377466155,10,3,5
ranch dressing,0,4.2,1.0327955589886444,10,2,5
ranch hand,2,4.454545454545454,0.6875516509523286,11,3,5
ranch house,0,4.5,1.0801234497346435,10,2,5
ranch-style house,0,4.6,0.699205898780101,10,3,5
ranchero sauce,0,4.2,1.2292725943057183,10,2,5
random access,0,2.9,1.5238839267549948,10,1,5
random access memory,2,3.2,1.6193277068654826,10,1,5
random breath test,1,3.5454545454545454,1.3684762594679065,11,1,5
random chance,0,2.1,1.449137674618944,10,1,5
random memory,0,1.8333333333333333,1.1934162828797101,12,1,5
random sample,0,2.6,1.577621275493231,10,1,5
random sampling,1,2.4,1.2649110640673518,10,1,5
random variable,0,3.1818181818181817,1.662418829187267,11,1,5
random walk,0,2.8,1.398411797560202,10,1,5
random-access memory,2,3.4545454545454546,1.6348477827391983,11,1,5
range against,5,1.9,1.1972189997378648,10,1,4
range cooker,1,4.25,1.2154310870109943,12,1,5
range finder,0,3.7,1.4181364924121764,10,1,5
range hood,7,3.5,1.8408935028645435,10,1,5
range in,1,1.8,1.0327955589886444,10,1,4
range of mountains,0,4.181818181818182,0.873862897505303,11,3,5
range over,2,2.8,1.6193277068654826,10,1,5
range with,1,2,1.1832159566199232,11,1,4
ranged weapon,3,4,1.5491933384829668,11,1,5
ranger guide,1,4,0.9428090415820634,10,2,5
ranger station,0,4.7,0.6749485577105528,10,3,5
ranging pole,3,4,1.4142135623730951,11,1,5
rank and file,0,2.1818181818181817,1.0787197799411874,11,1,4
rank correlation,5,2.230769230769231,1.2351684199496948,13,1,5
rank nonsense,4,2.4,1.505545305418162,10,1,5
rank order,1,3,1.7638342073763937,10,1,5
rank outsider,10,2.2857142857142856,1.2043875831929896,14,1,4
ransom money,1,3.6,1.429840705968481,10,1,5
rant and rave,0,1.875,1.0878112581387147,16,1,4
rap across the knuckles,1,3,1.6733200530681511,11,1,5
rap group,0,4.8,0.4216370213557839,10,4,5
rap music,0,4,1.699673171197595,10,1,5
rap on the knuckles,2,3.4,1.577621275493231,10,1,5
rap out,1,1.9,0.9944289260117533,10,1,3
rap session,1,3.1,1.728840330651992,10,1,5
rap sheet,0,3.8181818181818183,0.873862897505303,11,2,5
rap your knuckles,0,3.090909090909091,1.5782614139961386,11,1,5
rape conviction,0,3.272727272727273,1.348399724926484,11,1,5
rape oil,5,4.2,1.1352924243950935,10,2,5
rape whistle,1,4.3,1.0593499054713802,10,2,5
rapeseed oil,2,4.9,0.31622776601683794,10,4,5
rapid climb,2,3.272727272727273,1.348399724926484,11,1,5
rapid eye movement,0,4.1,0.9944289260117533,10,3,5
rapid eye movement sleep,1,2.8,1.2292725943057183,10,1,5
rapid growth,0,2.8,1.7511900715418263,10,1,5
rapid reaction force,4,2.5,1.7159383568311668,10,1,5
rapid transit,0,3.1,1.286683937707919,10,1,5
rapid transit system,1,3.8,1.3165611772087666,10,2,5
rare bird,1,3.8,1.1352924243950935,10,2,5
rare books,0,3.6,1.7126976771553504,10,1,5
rare cases,0,3.2,1.398411797560202,10,1,5
rare earth,0,2.1,1.1005049346146119,10,1,4
rare earth element,4,3.9,0.8755950357709131,10,3,5
rare earth metal,0,3.6363636363636362,1.5015143870590966,11,1,5
rare event,0,2.1818181818181817,1.3280197150781925,11,1,5
rare form,0,2.3,1.0593499054713802,10,1,4
rare gas,1,4.181818181818182,0.9816498172140428,11,2,5
rare instances,0,2,1.1547005383792515,10,1,4
rare moment,0,2.0555555555555554,1.1617543641469048,18,1,5
rare occasions,0,2,1.3333333333333333,10,1,5
rare occurrence,0,2.3,1.2516655570345725,10,1,5
rare opportunities,0,1.7,1.0593499054713802,10,1,4
rare species,0,3.5,0.8498365855987975,10,3,5
raring to go,2,1.5,0.7071067811865476,10,1,3
rasp fern,7,4.2,1.3165611772087666,10,1,5
raspberry tart,0,4.4,0.8432740427115678,10,3,5
rat cheese,1,4,1.247219128924647,10,2,5
rat droppings,0,4.8,0.6324555320336759,10,3,5
rat fink,7,2.3,1.1595018087284057,10,1,5
rat on,1,3,1,11,2,5
rat out,2,2.411764705882353,1.6605279103876787,17,1,5
rat out to,2,1.3,0.6749485577105528,10,1,3
rat pack,1,3.4,1.6465452046971292,10,1,5
rat poison,0,4.5,0.7071067811865476,10,3,5
rat race,0,2.3,1.636391694484477,10,1,5
rat run,3,3,1.2649110640673518,11,1,5
rat snake,0,4.2,1.3165611772087666,10,1,5
rat terrier,2,4.2,1.1352924243950935,10,2,5
rat trap,0,4.411764705882353,1.1757350641945108,17,1,5
rat-tail cactus,4,4.4,1.3498971154211057,10,1,5
ratafia biscuit,8,4.5,0.6324555320336759,16,3,5
ratbag,6,3.6,1.429840705968481,10,1,5
ratchet down,3,2.727272727272727,1.348399724926484,11,1,4
ratchet screwdriver,1,4.4,0.8432740427115678,10,3,5
ratchet up,2,2.1,1.1005049346146119,10,1,4
ratchet wheel,7,3.909090909090909,0.9438798074485389,11,3,5
ratchet wrench,2,4.8,0.6324555320336759,10,3,5
rate cap,2,2.4,1.2649110640673518,10,1,4
rate of attrition,1,2.4,1.2649110640673518,10,1,5
rate of depreciation,0,2.8,1.3165611772087666,10,1,5
rate of exchange,0,3.3076923076923075,1.4366984945013914,13,1,5
rate of growth,0,2.4545454545454546,1.2933395813657265,11,1,5
rate of inflation,0,2.909090909090909,1.1361818036340359,11,1,5
rate of interest,0,2.6363636363636362,1.5015143870590966,11,1,5
rate of pay,0,3.4,1.505545305418162,10,1,5
rate of payment,0,2.7222222222222223,1.3636264606493256,18,1,5
rate of respiration,1,3,1.5954480704349312,12,1,5
rate of return,1,3.1818181818181817,1.4709304414677002,11,1,5
rateable value,6,2,1.1832159566199232,11,1,4
rates of exchange,0,3.6,1.3498971154211057,10,2,5
rates of return,0,2.8181818181818183,1.4012980994907414,11,1,5
rather than,0,2,1.1547005383792515,10,1,4
rather you than me,0,2,0.9428090415820634,10,1,4
rating system,0,3.4,1.505545305418162,10,1,5
ratio variable,7,2.625,1.746424919657298,16,1,5
ration card,4,3.5,1.5811388300841898,10,1,5
ration coupon,2,4.5,0.97182531580755,10,2,5
ration out,0,2.5454545454545454,1.5075567228888183,11,1,5
ration pack,3,4,1.632993161855452,10,1,5
rational motive,2,2.2,1.5491933384829668,10,1,5
rational number,0,2.9,1.5238839267549948,10,1,5
rationalise away,0,2.9,1.66332999331662,10,1,5
rats in the attic,2,2.6,1.3498971154211057,10,1,5
rattan bowl,3,4.3,1.3374935098492586,10,1,5
rattan chair,1,4,1.2649110640673518,11,2,5
rattan palm,6,4,1.1547005383792515,10,2,5
rattle around,0,2.6,1.0749676997731399,10,1,5
rattle my chain,0,1.8,1.0327955589886444,10,1,4
rattle off,2,1.2,0.4216370213557839,10,1,2
rattle on,0,2.5,1.35400640077266,10,1,5
rattle on about,1,2.4,1.3498971154211057,10,1,5
rattle out,6,2.3,1.3374935098492586,10,1,5
rattle snake,0,4.8,0.6324555320336759,10,3,5
rattle someone's cage,1,2.2,1.5491933384829668,10,1,5
rattle through,2,2.1,1.1972189997378648,10,1,5
rattle up,3,2.5454545454545454,1.6348477827391983,11,1,5
rave review,0,2.1,1.3703203194062976,10,1,4
ravel out,8,2.125,1.02469507659596,16,1,4
raving mad,0,2.090909090909091,1.1361818036340359,11,1,4
raw bar,2,3.5,1.1785113019775793,10,1,5
raw beauty,0,2.6,1.3498971154211057,10,1,4
raw data,0,2.6,1.1737877907772674,10,1,5
raw deal,2,2.125,1.2583057392117916,16,1,5
raw material,0,4,0.8944271909999159,11,2,5
raw materials,0,3.6,1.0749676997731399,10,2,5
raw meat,0,5,0,10,5,5
