"","Participant","Survey","Platform","File_date","Thirty_plus","Incomplete","Do_not_know","Correlation","Exclude","RPS_ID","Prolific_ID","Gender","Gender_Self_Describe","Age","Ed_years","Uni_years","Ed_years_calc","English_first","English_fluent"
"1533","R_3G3Q86oFOcvqemE","List 6","Prolific","04-Jun-20",FALSE,0,0.0911161731207289,0.818160950696505,FALSE,NA,"5eb08fdf1851f8144854b8db","Female",-99,"23",16,NA,NA,NA,NA
"1534","R_3EcnTsR3FOfVxrP","List 6","Prolific","04-Jun-20",FALSE,0,0.155606407322654,0.916791393657538,FALSE,NA,"5eb2c12495eefd04c8e06815","Male",-99,"28",19,NA,NA,NA,NA
"1535","R_1Ojd7PHJFHN3QPc","List 6","Prolific","22-Jun-20",FALSE,0.0045662100456621,0.0228310502283105,-0.186148807801252,TRUE,NA,"5d17cb83686b190015ea4589","Male",-99,"26",18,NA,NA,NA,NA
"1536","R_1mPjFmUT8tLrooA","List 6","Prolific","22-Jun-20",FALSE,0,0.0297482837528604,0.00066346048466504,TRUE,NA,"5e69152a00f9b71c4de29535","Male",-99,"32",14,NA,NA,NA,NA
"1537","R_CmJnyR4mXOLvD9L","List 6","Prolific","22-Jun-20",FALSE,0,0.280182232346241,0.846121088299452,FALSE,NA,"5d74001d391b6600175f433b","Female",-99,"31",16,NA,NA,NA,NA
"1538","R_3EgWbOI9h523vKF","List 6","Prolific","22-Jun-20",FALSE,0,0.252847380410023,0.645263525264607,FALSE,NA,"5e6a6066d2723d016a56e77f","Female",-99,"19",15,NA,NA,NA,NA
"1539","R_2WAMesjdDaT1yZq","List 6","Prolific","22-Jun-20",FALSE,0.00454545454545455,0.0181818181818182,0.0902159895696115,TRUE,NA,"5ea08634178d5e05a49808af","Male",-99,"22",15,NA,NA,NA,NA
"1540","R_272sPlngD0E61rh","List 6","Prolific","22-Jun-20",FALSE,0,0.182648401826484,0.717674684269095,FALSE,NA,"57d5ab3a722df500017f3622","Male",-99,"39",12,NA,NA,NA,NA
"1541","R_3Mm9fiH4xpeTSC8","List 6","Prolific","22-Jun-20",FALSE,0,0.469248291571754,0.701730395445854,FALSE,NA,"5df37446dc853524566a17e6","Female",-99,"29",18,NA,NA,NA,NA
"1542","R_e5m245C64X5r2SZ","List 6","Prolific","22-Jun-20",FALSE,0.00227272727272727,0.025,0.396815806608897,FALSE,NA,"5c587fb58fba0a000189f4d8","Male",-99,"21",15,NA,NA,NA,NA
"1543","R_2qlS6z7fU0AxElE","List 6","Prolific","22-Jun-20",FALSE,0,0.159817351598174,0.86640998993455,FALSE,NA,"57b8e70f35624400013d690c","Female",-99,"30",17,NA,NA,NA,NA
"1544","R_3M4q02E7zwm5cFg","List 6","Prolific","22-Jun-20",FALSE,0,0.461187214611872,0.817372157860319,FALSE,NA,"595b6e5a7c76640001aa9339","Male",-99,"23",16,NA,NA,NA,NA
"1545","R_1hPVwBj9Sj9TKQZ","List 6","Prolific","06-Jul-20",FALSE,0,0.127853881278539,0.354993737036146,FALSE,NA,"5cb988a6b3e70d0001715d79","Male",-99,"36",19,NA,NA,NA,NA
"1546","R_27lFBrVVb6UPf9i","List 6","Prolific","06-Jul-20",FALSE,0,0.362385321100917,0.720863888640174,FALSE,NA,"5bf0357856a321000106ab8b","Female",-99,"23",17,NA,NA,NA,NA
"1547","R_WrFRN5QdCAp7TrP","List 6","Prolific","06-Jul-20",FALSE,0,0.272311212814645,0.817885137585499,FALSE,NA,"5e5f0f0da2255725069e61cc","Female",-99,"28",21,NA,NA,NA,NA
"1548","R_qF6VZQ0KkuyOiyt","List 6","Prolific","06-Jul-20",FALSE,0,0.175799086757991,0.783392557689247,FALSE,NA,"5d7cc2a885d34b0001657ea7","Male",-99,"42",14,NA,NA,NA,NA
"1549","R_24dXPoPcoEvAUvm","List 6","Prolific","06-Jul-20",FALSE,0,0.269406392694064,0.789036766397822,FALSE,NA,"5c7ff40242a6c20017e1ab78","Male",-99,"28",20,NA,NA,NA,NA
"1550","R_3Hh0ZNue9SyCLGh","List 6","Prolific","06-Jul-20",FALSE,0,0.208715596330275,0.835910708032797,FALSE,NA,"55c4fc3dfdf99b559867a416","Female",-99,"28",16,NA,NA,NA,NA
"1551","R_25EAsAD8D6degtl","List 6","Prolific","06-Jul-20",FALSE,0.00455580865603645,0.0751708428246014,0.109744698195819,TRUE,NA,"5ea9756607b9e3069ebb658b","Male",-99,"19",12,NA,NA,NA,NA
"1552","R_1FycWHVDhnU5WX7","List 6","Prolific","16-Jul-20",FALSE,0,0.315068493150685,0.847659540395355,FALSE,NA,"5c1501d280023f0001aa11cf","Female",-99,"39",15,NA,NA,NA,NA
"1553","R_3GwzR3lQ4EFfIwa","List 6","Prolific","16-Jul-20",FALSE,0.00229357798165138,0.458715596330275,0.90541335652243,FALSE,NA,"5e1b7fc4fd7db43b2b29efb6","Female",-99,"32",15,NA,NA,NA,NA
"1554","R_3RxwQLiAa5O3ukN","List 6","Prolific","16-Jul-20",FALSE,0,0.453089244851259,0.901066891300053,FALSE,NA,"5d3b214293eb2d0017787dd5","Prefer to self-describe",NA,"34",15,NA,NA,NA,NA
"1555","R_12M8rSvXeOPyEw8","List 6","Prolific","16-Jul-20",FALSE,0,0.403189066059225,0.83592624318448,FALSE,NA,"5cab4ce7fc216d0016162830","Female",-99,"33",18,NA,NA,NA,NA
"1556","R_3g2gkIa9a6r328c","List 6","Prolific","16-Jul-20",FALSE,0.0091324200913242,0.00684931506849315,-0.2188175767849,TRUE,NA,"5d36e5a972282e0019605fa0","Male",-99,"27",18,NA,NA,NA,NA
"1557","R_3HzZJAq2cdNXLoY","List 7","Mturk","31-Jan-20",FALSE,0.00911161731207289,0.305239179954442,0.140986888758963,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1558","R_3ENqtf5Vp5ITcCe","List 7","Mturk","31-Jan-20",FALSE,0,0.0772727272727273,0.0127789075716414,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1559","R_3fBsqoy1Ze3LH0t","List 7","Mturk","31-Jan-20",FALSE,0,0,-0.0263378653611164,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1560","R_bBE1SmGFxSHUS2t","List 7","Mturk","31-Jan-20",FALSE,0,0.170842824601367,0.766990564000995,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
