Expression,Type
book of numbers,Idiom/Fixed expression
automatic recovery program,Compound noun
book of psalms,Idiom/Fixed expression
alcoholic drinks,Compound noun
ale drinker,Compound noun
Boston Tea Party,Idiom/Fixed expression
botany bay,Idiom/Fixed expression
bothnian sea,Idiom/Fixed expression
bottle of water,Idiom/Fixed expression
bound up,Particle verb
alkaline earth metal,Compound noun
all-terrain bike,Compound noun
bow and arrow,Idiom/Fixed expression
bowl of cherries,Idiom/Fixed expression
bowl of chips,Idiom/Fixed expression
box and cox,Idiom/Fixed expression
box of chocolates,Idiom/Fixed expression
escape route,Compound noun
brahms and lizst,Idiom/Fixed expression
bread-and-butter letter,Idiom/Fixed expression
breast of lamb,Idiom/Fixed expression
breast of veal,Idiom/Fixed expression
breathe a sigh of relief,Idiom/Fixed expression
all-terrain board,Compound noun
eternal youth,Compound noun
all-terrain vehicle,Compound noun
alloying element,Compound noun
alluvial plain,Compound noun
executive routine,Compound noun
brethren and sistern,Idiom/Fixed expression
bric-a-brac,Idiom/Fixed expression
brick and mortar,Idiom/Fixed expression
alphabetic writing,Compound noun
brick it,Particle verb
bed cover,Compound noun
brick up,Particle verb
bricks and clicks,Idiom/Fixed expression
bricks and mortar,Idiom/Fixed expression
Bright's disease,Idiom/Fixed expression
alpine ash,Compound noun
cooccur with,Particle verb
Bristol fashion,Idiom/Fixed expression
brit awards,Idiom/Fixed expression
brit milah,Idiom/Fixed expression
British Council,Idiom/Fixed expression
British Crown dependency,Idiom/Fixed expression
British Empire,Idiom/Fixed expression
British Isles,Idiom/Fixed expression
British Legion,Idiom/Fixed expression
British Lions,Idiom/Fixed expression
British Open,Idiom/Fixed expression
alpine hat,Compound noun
brittle bone disease,Idiom/Fixed expression
alpine lift,Compound noun
broad strokes,Idiom/Fixed expression
alpine plant,Compound noun
broadside on,Idiom/Fixed expression
bromide of potassium,Idiom/Fixed expression
brown study,Idiom/Fixed expression
brown thumb,Idiom/Fixed expression
cabinet office,Compound noun
alpine sunflower,Compound noun
buckley's chance,Idiom/Fixed expression
altar wine,Compound noun
bulimia nervosa,Idiom/Fixed expression
exit route,Compound noun
bulk up,Particle verb
bull session,Idiom/Fixed expression
bull through,Particle verb
burden of proof,Idiom/Fixed expression
bureau de change,Idiom/Fixed expression
bureau of customs,Idiom/Fixed expression
bureau of the census,Idiom/Fixed expression
bureaus de change,Idiom/Fixed expression
bureaux de change,Idiom/Fixed expression
burger and fries,Idiom/Fixed expression
alternating current,Compound noun
burmeisteria retusa,Idiom/Fixed expression
busman holiday,Idiom/Fixed expression
busman's holiday,Idiom/Fixed expression
alternating electric current,Compound noun
C of C,Idiom/Fixed expression
C of E,Idiom/Fixed expression
cack up,Particle verb
cafe au lait,Idiom/Fixed expression
café au lait,Idiom/Fixed expression
cafe con leche,Idiom/Fixed expression
caisson disease,Idiom/Fixed expression
calamity jane,Idiom/Fixed expression
calculate on,Particle verb
alternating function,Compound noun
explorer scout,Compound noun
Canada Day,Idiom/Fixed expression
Canada Pension Plan,Idiom/Fixed expression
Canada Revenue Agency,Idiom/Fixed expression
Canadian Charter of Rights and Freedoms,Idiom/Fixed expression
alternative birthing,Compound noun
candlemas day,Idiom/Fixed expression
cap and gown,Idiom/Fixed expression
cap and trade,Idiom/Fixed expression
Cape Canaveral,Idiom/Fixed expression
cape cod,Idiom/Fixed expression
cape may,Idiom/Fixed expression
capital of laos,Idiom/Fixed expression
caps and small caps,Idiom/Fixed expression
alternative medicine,Compound noun
carbon capture and storage,Idiom/Fixed expression
factory outlet,Compound noun
care for,Particle verb
care to,Particle verb
Carnegie Hall,Idiom/Fixed expression
carpal tunnel,Idiom/Fixed expression
carpal tunnel syndrome,Idiom/Fixed expression
carried away,Particle verb
case of,Idiom/Fixed expression
cast ballot,Idiom/Fixed expression
castleman's disease,Idiom/Fixed expression
casu consulto,Idiom/Fixed expression
casus belli,Idiom/Fixed expression
cat scratch disease,Idiom/Fixed expression
catholic church,Idiom/Fixed expression
cats and dogs,Idiom/Fixed expression
dispense with,Particle verb
cause and effect,Idiom/Fixed expression
celiac disease,Idiom/Fixed expression
bib overalls,Compound noun
censure someone,Idiom/Fixed expression
aluminium bronze,Compound noun
certificate of deposit,Idiom/Fixed expression
cervical root syndrome,Idiom/Fixed expression
cherry-pick,Idiom/Fixed expression
chest of drawers,Idiom/Fixed expression
chesterfield rugby,Idiom/Fixed expression
chicken and rice,Idiom/Fixed expression
chief of police,Idiom/Fixed expression
chief of staff,Idiom/Fixed expression
chief of state,Idiom/Fixed expression
aluminium foil,Compound noun
Christian Science,Idiom/Fixed expression
Christian Scientist,Idiom/Fixed expression
Christmas Day,Idiom/Fixed expression
Christmas eve,Idiom/Fixed expression
chronic fatigue syndrome,Idiom/Fixed expression
church of England,Idiom/Fixed expression
church of Ireland,Idiom/Fixed expression
church of scotland,Idiom/Fixed expression
circle of curvature,Idiom/Fixed expression
circle of willis,Idiom/Fixed expression
aluminium oxide,Compound noun
claw back,Particle verb
aluminum foil,Compound noun
aluminum shower,Compound noun
coa de jima,Idiom/Fixed expression
coca cola,Idiom/Fixed expression
coca-cola,Idiom/Fixed expression
coco de macao,Idiom/Fixed expression
coefficient of concordance,Idiom/Fixed expression
coefficient of correlation,Idiom/Fixed expression
coefficient of elasticity,Idiom/Fixed expression
coefficient of expansion,Idiom/Fixed expression
coefficient of friction,Idiom/Fixed expression
coefficient of reflection,Idiom/Fixed expression
coefficient of viscosity,Idiom/Fixed expression
coeliac disease,Idiom/Fixed expression
cogito ergo sum,Idiom/Fixed expression
aluminum smelter,Compound noun
color up,Particle verb
Columbus Day,Idiom/Fixed expression
ambush marketing,Compound noun
commedia dell'arte,Idiom/Fixed expression
commencement day,Idiom/Fixed expression
commission de bene esse,Idiom/Fixed expression
commission on civil rights,Idiom/Fixed expression
commissioner for oaths,Idiom/Fixed expression
common or garden variety,Idiom/Fixed expression
common-and-garden,Idiom/Fixed expression
commonwealth games,Idiom/Fixed expression
commonwealth of nations,Idiom/Fixed expression
american indian,Compound noun
amine scrubber,Compound noun
compos mentis,Idiom/Fixed expression
file with,Particle verb
blackhead remover,Compound noun
fought with,Particle verb
Confederate States of America,Idiom/Fixed expression
amine ylide,Compound noun
congressional medal of honor,Idiom/Fixed expression
conjure from,Particle verb
filter out,Particle verb
conjure up,Particle verb
connotative of,Idiom/Fixed expression
amino acid,Compound noun
conservation of energy,Idiom/Fixed expression
conservation of mass,Idiom/Fixed expression
conservation of matter,Idiom/Fixed expression
grapple with,Particle verb
constant of gravitation,Idiom/Fixed expression
consume mass quantities,Idiom/Fixed expression
contempt of congress,Idiom/Fixed expression
contempt of court,Idiom/Fixed expression
contempt of parliament,Idiom/Fixed expression
context of use,Idiom/Fixed expression
identify with,Particle verb
amino aldehyde,Compound noun
coral sea,Idiom/Fixed expression
cappuccino coffee,Compound noun
corn on the cob,Idiom/Fixed expression
corps de ballet,Idiom/Fixed expression
corridors of power,Idiom/Fixed expression
council of war,Idiom/Fixed expression
counsel to the crown,Idiom/Fixed expression
country and western,Idiom/Fixed expression
amino group,Compound noun
aminomethylbenzoic acid,Compound noun
course of lectures,Idiom/Fixed expression
course of study,Idiom/Fixed expression
court of appeal,Idiom/Fixed expression
court of appeals,Idiom/Fixed expression
court of assize,Idiom/Fixed expression
court of cassation,Idiom/Fixed expression
court of chancery,Idiom/Fixed expression
court of claims,Idiom/Fixed expression
court of enquiry,Idiom/Fixed expression
anal intercourse,Compound noun
court of justice,Idiom/Fixed expression
court of law,Idiom/Fixed expression
court of session,Idiom/Fixed expression
court of st. james,Idiom/Fixed expression
covenant of salt,Idiom/Fixed expression
brief overview,Compound noun
caretaker government,Compound noun
cartridge remover,Compound noun
cream of tartar,Idiom/Fixed expression
creme de fraise,Idiom/Fixed expression
creme de la creme,Idiom/Fixed expression
crème de la crème,Idiom/Fixed expression
creme de menthe,Idiom/Fixed expression
crème de menthe,Idiom/Fixed expression
cremes de menthe,Idiom/Fixed expression
anal sphincter,Compound noun
crest of a wave,Idiom/Fixed expression
creutzfeldt-jakob disease,Idiom/Fixed expression
cri de coeur,Idiom/Fixed expression
Crohn's disease,Idiom/Fixed expression
croix de guerre,Idiom/Fixed expression
cu. m.,Idiom/Fixed expression
cull from,Particle verb
analytic thinking,Compound noun
cumulative trauma disorder,Idiom/Fixed expression
cup and saucer,Idiom/Fixed expression
animal control officer,Compound noun
cup of tea,Idiom/Fixed expression
curds and whey,Idiom/Fixed expression
current of air,Idiom/Fixed expression
currier and ives,Idiom/Fixed expression
cut of pork,Idiom/Fixed expression
cut of veal,Idiom/Fixed expression
cy young award,Idiom/Fixed expression
D and C,Idiom/Fixed expression
D Phil,Idiom/Fixed expression
anchor chain,Compound noun
D. Phil.,Idiom/Fixed expression
d.c. al coda,Idiom/Fixed expression
Dalai Lama,Idiom/Fixed expression
date of birth,Idiom/Fixed expression
date of reference,Idiom/Fixed expression
dative of purpose,Idiom/Fixed expression
daughter of the manse,Idiom/Fixed expression
David and Goliath,Idiom/Fixed expression
Davis Cup,Idiom/Fixed expression
day of atonement,Idiom/Fixed expression
day of judgement,Idiom/Fixed expression
day of judgment,Idiom/Fixed expression
anchor ring,Compound noun
day of remembrance,Idiom/Fixed expression
day of rest,Idiom/Fixed expression
day of the dead,Idiom/Fixed expression
day of the month,Idiom/Fixed expression
day of the week,Idiom/Fixed expression
days of the week,Idiom/Fixed expression
anchovy dressing,Compound noun
angel wings,Compound noun
decoration day,Idiom/Fixed expression
defer to,Particle verb
degree of freedom,Idiom/Fixed expression
