Expression,Type
degree of latitude,Idiom/Fixed expression
degree of longitude,Idiom/Fixed expression
lard with,Particle verb
lumber with,Particle verb
degrees of comparison,Idiom/Fixed expression
denial of service attack,Idiom/Fixed expression
density of light,Idiom/Fixed expression
depart from,Particle verb
department of biology,Idiom/Fixed expression
department of chemistry,Idiom/Fixed expression
department of commerce,Idiom/Fixed expression
department of defense,Idiom/Fixed expression
department of economics,Idiom/Fixed expression
department of education,Idiom/Fixed expression
department of justice,Idiom/Fixed expression
department of labor,Idiom/Fixed expression
angina pectoris,Compound noun
department of music,Idiom/Fixed expression
department of philosophy,Idiom/Fixed expression
department of physics,Idiom/Fixed expression
department of psychology,Idiom/Fixed expression
department of sociology,Idiom/Fixed expression
department of state,Idiom/Fixed expression
dependent upon,Idiom/Fixed expression
depersonalisation disorder,Idiom/Fixed expression
depth of field,Idiom/Fixed expression
depth of focus,Idiom/Fixed expression
depths of depravity,Idiom/Fixed expression
dereliction of duty,Idiom/Fixed expression
derogate from,Particle verb
angiotensin converting enzyme,Compound noun
deus vobiscum,Idiom/Fixed expression
deutsche mark,Idiom/Fixed expression
Dhu al-Hijjah,Idiom/Fixed expression
dijkstra's algorithm,Idiom/Fixed expression
dilatation and curettage,Idiom/Fixed expression
dilate on,Particle verb
dilation and curettage,Idiom/Fixed expression
dim view,Idiom/Fixed expression
angle grinder,Compound noun
director of public prosecutions,Idiom/Fixed expression
discourse on,Idiom/Fixed expression
discourse upon,Idiom/Fixed expression
angle joint,Compound noun
dish up,Particle verb
ply with,Particle verb
dispose of,Particle verb
central government,Compound noun
division of labor,Idiom/Fixed expression
doctor of arts,Idiom/Fixed expression
doctor of philosophy,Idiom/Fixed expression
doctor of science,Idiom/Fixed expression
doctor of the church,Idiom/Fixed expression
angular vein,Compound noun
doped up,Idiom/Fixed expression
Dorian Gray,Idiom/Fixed expression
double as,Particle verb
chill down,Particle verb
countdown clock,Compound noun
double for,Particle verb
animal kingdom,Compound noun
animal skin,Compound noun
douse the glim,Idiom/Fixed expression
Dow Jones,Idiom/Fixed expression
Dow Jones Average,Idiom/Fixed expression
animal testing,Compound noun
animal trainer,Compound noun
down coat,Compound noun
down cold,Compound noun
animate thing,Compound noun
dr martens,Idiom/Fixed expression
dream away,Particle verb
droit de seigneur,Idiom/Fixed expression
drug enforcement agency,Idiom/Fixed expression
drum 'n' bass,Idiom/Fixed expression
drum and bass,Idiom/Fixed expression
ankle joint,Compound noun
du jour,Idiom/Fixed expression
due process of law,Idiom/Fixed expression
due to,Idiom/Fixed expression
dulce de leche,Idiom/Fixed expression
dungeons and dragons,Idiom/Fixed expression
dust up,Idiom/Fixed expression
dutch elm disease,Idiom/Fixed expression
each way,Idiom/Fixed expression
each week,Idiom/Fixed expression
each year,Idiom/Fixed expression
ear candy,Idiom/Fixed expression
ear-nose-and-throat doctor,Idiom/Fixed expression
"ear, nose and throat",Idiom/Fixed expression
easter day,Idiom/Fixed expression
easter sunday,Idiom/Fixed expression
eastern conference,Idiom/Fixed expression
eastern orthodox,Idiom/Fixed expression
eastern orthodox church,Idiom/Fixed expression
eau de cologne,Idiom/Fixed expression
eau de toilette,Idiom/Fixed expression
eaux de cologne,Idiom/Fixed expression
eaves through,Compound noun
ecce homo,Idiom/Fixed expression
ecce homo!,Idiom/Fixed expression
economies of scale,Idiom/Fixed expression
annual general meeting,Compound noun
annual meeting,Compound noun
Eid al-Fitr,Idiom/Fixed expression
Eiffel tower,Idiom/Fixed expression
eigenvalue of a matrix,Idiom/Fixed expression
ejusdem generis,Idiom/Fixed expression
El Dorado,Idiom/Fixed expression
annual ring,Compound noun
elan vital,Idiom/Fixed expression
elasticity of shear,Idiom/Fixed expression
elbow aside,Particle verb
answering machine,Compound noun
answering service,Compound noun
ellis island,Idiom/Fixed expression
emily post,Idiom/Fixed expression
empire day,Idiom/Fixed expression
en avant!,Idiom/Fixed expression
en bloc,Idiom/Fixed expression
en brochette,Idiom/Fixed expression
en deshabille,Idiom/Fixed expression
en famille,Idiom/Fixed expression
en garde,Idiom/Fixed expression
en masse,Idiom/Fixed expression
en passant,Idiom/Fixed expression
anti doping,Compound noun
en rapport,Idiom/Fixed expression
fixed route,Compound noun
en suite,Idiom/Fixed expression
engage attention,Idiom/Fixed expression
English Channel,Idiom/Fixed expression
ens reale,Idiom/Fixed expression
ent man,Idiom/Fixed expression
enter on,Particle verb
enter upon,Particle verb
Episcopal Church,Idiom/Fixed expression
anti dumping,Compound noun
equal to the occasion,Idiom/Fixed expression
equal to the task,Idiom/Fixed expression
equate to,Particle verb
erode away,Particle verb
err on the side of,Idiom/Fixed expression
err on the side of caution,Idiom/Fixed expression
escape from,Particle verb
esprit de l'escalier,Idiom/Fixed expression
estate for life,Idiom/Fixed expression
estate of the realm,Idiom/Fixed expression
et al.,Idiom/Fixed expression
et alia,Idiom/Fixed expression
et aliae,Idiom/Fixed expression
et alibi,Idiom/Fixed expression
et alii,Idiom/Fixed expression
et alios,Idiom/Fixed expression
et cetera,Idiom/Fixed expression
et ceteræ,Idiom/Fixed expression
et hoc genus omne,Idiom/Fixed expression
et id genus omne,Idiom/Fixed expression
et seq.,Idiom/Fixed expression
et seqq.,Idiom/Fixed expression
etc.,Idiom/Fixed expression
etcetera,Idiom/Fixed expression
ethic of reciprocity,Idiom/Fixed expression
european commission,Idiom/Fixed expression
european economic community,Idiom/Fixed expression
european parliament,Idiom/Fixed expression
European Union,Idiom/Fixed expression
ex aequo,Idiom/Fixed expression
ex ante,Idiom/Fixed expression
ex cathedra,Idiom/Fixed expression
ex gratia,Idiom/Fixed expression
ex nihilo,Idiom/Fixed expression
ex parte,Idiom/Fixed expression
ex post,Idiom/Fixed expression
ex post facto,Idiom/Fixed expression
ex tempore,Idiom/Fixed expression
anti-lock braking system,Compound noun
ex vitro,Idiom/Fixed expression
ex vivo,Idiom/Fixed expression
exceptio beneficium excussionis,Idiom/Fixed expression
anticholinergic drug,Compound noun
exceptio metus,Idiom/Fixed expression
exceptio non adempleti contractus,Idiom/Fixed expression
exceptio non numeratae pecuniae,Idiom/Fixed expression
exceptio quod metus causa,Idiom/Fixed expression
exception proves the rule,Idiom/Fixed expression
exclusive of,Idiom/Fixed expression
excuse for,Idiom/Fixed expression
antilock braking system,Compound noun
exert force,Idiom/Fixed expression
exetera,Idiom/Fixed expression
exit stage left,Idiom/Fixed expression
expatiate on,Particle verb
expatiate upon,Particle verb
expose oneself,Idiom/Fixed expression
expound upon,Particle verb
apartment building,Compound noun
express emotion,Idiom/Fixed expression
apocrine gland,Compound noun
express impatience,Idiom/Fixed expression
express joy,Idiom/Fixed expression
extend oneself,Idiom/Fixed expression
french vermouth,Compound noun
downey heads,Compound noun
face facts,Idiom/Fixed expression
façon de parler,Idiom/Fixed expression
apollinaris water,Compound noun
faits accomplis,Idiom/Fixed expression
present with,Particle verb
fast of tammuz,Idiom/Fixed expression
fast of tevet,Idiom/Fixed expression
father's day,Idiom/Fixed expression
faute de mieux,Idiom/Fixed expression
press ahead with,Particle verb
press on with,Particle verb
Fawlty Towers,Idiom/Fixed expression
fawn on,Particle verb
apparel chain,Compound noun
faze me,Idiom/Fixed expression
fresh out,Idiom/Fixed expression
fear for,Particle verb
apparel industry,Compound noun
feature of speech,Idiom/Fixed expression
appendicular vein,Compound noun
apple dumpling,Compound noun
federalist party,Idiom/Fixed expression
felt up,Particle verb
catering officer,Compound noun
feng shui,Idiom/Fixed expression
fetal alcohol syndrome,Idiom/Fixed expression
field of battle,Idiom/Fixed expression
field of fire,Idiom/Fixed expression
field of force,Idiom/Fixed expression
field of operation,Idiom/Fixed expression
field of study,Idiom/Fixed expression
field of view,Idiom/Fixed expression
field of vision,Idiom/Fixed expression
fieri facias,Idiom/Fixed expression
fifth amendment,Idiom/Fixed expression
provide with,Particle verb
file-drawer problem,Idiom/Fixed expression
fillet of sole,Idiom/Fixed expression
clover-leaf roll,Compound noun
filter up,Particle verb
applied linguistics,Compound noun
appointment book,Compound noun
appointment calendar,Compound noun
approval voting,Compound noun
fish for,Particle verb
flag day,Idiom/Fixed expression
fleur de sel,Idiom/Fixed expression
flex one's muscles,Idiom/Fixed expression
flight of capital,Idiom/Fixed expression
flight of fancy,Idiom/Fixed expression
flight of stairs,Idiom/Fixed expression
flight of steps,Idiom/Fixed expression
apron string,Compound noun
florida keys,Idiom/Fixed expression
flow back,Particle verb
apron strings,Compound noun
focus on,Particle verb
folded up,Particle verb
apron-string hold,Compound noun
floor covering,Compound noun
girl scout,Compound noun
girl scouts,Compound noun
force majeure,Idiom/Fixed expression
fore-and-aft rig,Idiom/Fixed expression
fore-and-aft topsail,Idiom/Fixed expression
army officer,Compound noun
form a part,Idiom/Fixed expression
form a plan,Idiom/Fixed expression
arc sine,Compound noun
forme fruste,Idiom/Fixed expression
fort knox,Idiom/Fixed expression
fort up,Particle verb
fortune 500,Idiom/Fixed expression
pullulate with,Particle verb
four by four,Idiom/Fixed expression
four by two,Idiom/Fixed expression
Fourth of July,Idiom/Fixed expression
fragile x syndrome,Idiom/Fixed expression
frames per second,Idiom/Fixed expression
goal mouth,Compound noun
arc welding,Compound noun
free for all,Idiom/Fixed expression
free of charge,Idiom/Fixed expression
free on board,Idiom/Fixed expression
freedom of assembly,Idiom/Fixed expression
freedom of association,Idiom/Fixed expression
freedom of contract,Idiom/Fixed expression
freedom of expression,Idiom/Fixed expression
area bombing,Compound noun
arm twisting,Compound noun
freedom of religion,Idiom/Fixed expression
freedom of speech,Idiom/Fixed expression
freedom of the city,Idiom/Fixed expression
freedom of the press,Idiom/Fixed expression
freedom of thought,Idiom/Fixed expression
french riviera,Idiom/Fixed expression
frenzy of activity,Idiom/Fixed expression
freudian slip,Idiom/Fixed expression
front of house,Idiom/Fixed expression
front up,Particle verb
arm wrestling,Compound noun
armor plating,Compound noun
FTSE 100,Idiom/Fixed expression
armor-piercing shot,Compound noun
fugitive from justice,Idiom/Fixed expression
fullness of time,Idiom/Fixed expression
armoured fighting vehicle,Compound noun
fun and games,Idiom/Fixed expression
further to,Idiom/Fixed expression
gamble away,Particle verb
gamble on,Particle verb
Gantt chart,Idiom/Fixed expression
Garden of Eden,Idiom/Fixed expression
gas and air,Idiom/Fixed expression
gather dust,Idiom/Fixed expression
arms industry,Compound noun
gather speed,Idiom/Fixed expression
gather up,Particle verb
gave his life,Idiom/Fixed expression
gay for pay,Idiom/Fixed expression
gen up,Particle verb
gen up on,Particle verb
general certificate of education,Idiom/Fixed expression
general certificate of secondary education,Idiom/Fixed expression
general of the army,Idiom/Fixed expression
general theory of relativity,Idiom/Fixed expression
genghis khan,Idiom/Fixed expression
genius loci,Idiom/Fixed expression
Gerstmann syndrome,Idiom/Fixed expression
gettysburg address,Idiom/Fixed expression
Ghent system,Idiom/Fixed expression
gideon bible,Idiom/Fixed expression
army intelligence,Compound noun
artificial insemination,Compound noun
outlet cover,Compound noun
glass of beer,Idiom/Fixed expression
artificial intelligence,Compound noun
glow on,Idiom/Fixed expression
gnomes of zurich,Idiom/Fixed expression
Golden Globe Awards,Idiom/Fixed expression
good afternoon,Idiom/Fixed expression
coalition government,Compound noun
arrestable offence,Compound noun
graft on,Particle verb
arum palaestinum,Compound noun
ascending artery,Compound noun
grand central station,Idiom/Fixed expression
Grand Ole Opry,Idiom/Fixed expression
grand unified theory,Idiom/Fixed expression
range with,Particle verb
"grasp all, lose all",Idiom/Fixed expression
grasp at,Particle verb
grasp at straws,Idiom/Fixed expression
grasp for,Particle verb
grasp the nettle,Idiom/Fixed expression
grass of parnassus,Idiom/Fixed expression
gravitate to,Particle verb
gravitate toward,Particle verb
gravitate towards,Particle verb
ascending colon,Compound noun
ascending node,Compound noun
grayed out,Particle verb
group of five,Idiom/Fixed expression
group of seven,Idiom/Fixed expression
guest of honor,Idiom/Fixed expression
ash bin,Compound noun
gulf war,Idiom/Fixed expression
gum up,Particle verb
Guten Morgen,Idiom/Fixed expression
guy fawkes night,Idiom/Fixed expression
Guy Fawkes' Night,Idiom/Fixed expression
back office,Compound noun
Hagia Sophia,Idiom/Fixed expression
hair champoo,Compound noun
hall of fame,Idiom/Fixed expression
